Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,183.199997,187.199997,182.000000,187.000000,172.168167,13126
2021-04-02,187.000000,187.000000,187.000000,187.000000,172.168167,0
2021-04-05,187.000000,187.000000,187.000000,187.000000,172.168167,0
2021-04-06,186.899994,187.500000,184.600006,185.199997,170.510925,15725
2021-04-07,186.699997,187.500000,183.199997,187.000000,172.168167,11709
2021-04-08,185.800003,190.800003,185.800003,190.699997,175.574692,11024
2021-04-09,191.199997,192.000000,190.000000,190.500000,175.390549,10242
2021-04-12,191.000000,191.100006,186.300003,187.600006,172.720581,11746
2021-04-13,188.000000,188.300003,185.100006,188.300003,173.365051,11961
2021-04-14,188.000000,188.000000,181.699997,182.399994,167.932999,12553
2021-04-15,182.399994,184.800003,182.100006,184.800003,170.142654,9529
2021-04-16,185.899994,185.899994,180.000000,183.000000,168.485413,15350
2021-04-19,184.800003,186.600006,181.000000,186.600006,171.799881,16363
2021-04-20,186.000000,186.000000,178.199997,179.000000,164.802673,12500
2021-04-21,179.100006,179.100006,172.600006,175.600006,161.672363,10680
2021-04-22,178.000000,179.699997,176.399994,177.100006,163.053391,17694
2021-04-23,176.600006,179.000000,176.600006,177.000000,162.961304,10883
2021-04-26,177.199997,180.399994,177.199997,180.000000,165.723358,7570
2021-04-27,178.000000,189.000000,177.399994,188.500000,173.549194,16089
2021-04-28,188.000000,188.199997,179.100006,179.399994,165.170944,10917
2021-04-29,179.000000,184.699997,179.000000,184.300003,169.682312,28627
2021-04-30,185.000000,185.000000,180.000000,182.000000,167.564728,12725
2021-05-03,182.000000,182.000000,182.000000,182.000000,167.564728,0
2021-05-04,184.399994,184.399994,180.000000,183.500000,168.945770,14741
2021-05-05,181.500000,186.000000,181.500000,186.000000,171.247467,21920
2021-05-06,187.899994,196.899994,187.899994,190.000000,174.930222,53240
2021-05-07,190.100006,195.000000,189.399994,191.000000,175.850906,13297
2021-05-10,192.000000,198.800003,191.300003,191.800003,176.587448,15283
2021-05-11,191.000000,192.500000,185.399994,185.800003,171.063339,5827
2021-05-12,187.000000,194.000000,185.000000,194.000000,178.612961,7366
2021-05-13,191.899994,192.800003,184.500000,184.699997,170.050583,22829
2021-05-14,186.000000,188.699997,183.000000,183.500000,168.945770,14890
2021-05-17,183.800003,192.000000,183.800003,191.899994,176.679520,17146
2021-05-18,191.300003,192.899994,189.199997,189.300003,174.285736,9036
2021-05-19,188.000000,192.699997,185.000000,187.100006,172.260239,15644
2021-05-20,190.399994,191.300003,187.000000,190.000000,174.930222,7035
2021-05-21,191.100006,199.899994,188.699997,198.000000,182.295700,16222
2021-05-24,200.000000,225.000000,200.000000,224.000000,206.233521,75203
2021-05-25,224.399994,246.600006,224.399994,242.000000,222.805847,93595
2021-05-26,242.000000,242.199997,232.399994,242.000000,222.805847,42616
2021-05-27,242.199997,252.600006,242.199997,247.600006,227.961700,72022
2021-05-28,249.800003,261.000000,249.199997,258.000000,237.536819,62668
2021-05-31,258.000000,260.000000,256.000000,258.000000,237.536819,28090
2021-06-01,257.000000,265.399994,254.000000,262.000000,241.219559,26469
2021-06-02,264.799988,279.399994,264.799988,278.600006,256.502960,37982
2021-06-03,null,null,null,null,null,null
2021-06-04,278.600006,278.799988,273.200012,277.600006,255.582245,20173
2021-06-07,274.399994,274.399994,265.399994,267.000000,245.822998,36400
2021-06-08,265.399994,270.399994,263.000000,265.799988,244.718155,37984
2021-06-09,267.000000,267.399994,264.000000,267.000000,245.822998,29264
2021-06-10,266.799988,277.000000,266.200012,277.000000,255.029846,30948
2021-06-11,276.000000,277.399994,269.000000,270.600006,249.137451,21659
2021-06-14,270.399994,274.000000,268.200012,269.600006,248.216782,14316
2021-06-15,269.799988,275.200012,268.000000,271.399994,249.874008,14341
2021-06-16,270.000000,280.000000,270.000000,275.399994,253.556732,31540
2021-06-17,274.000000,276.600006,272.200012,274.200012,252.451935,27513
2021-06-18,274.200012,282.200012,272.799988,273.600006,251.899506,40739
2021-06-21,274.000000,278.399994,270.200012,272.399994,250.794678,5116
2021-06-22,273.799988,277.799988,270.000000,277.200012,255.213989,12982
2021-06-23,268.600006,275.000000,261.399994,271.799988,260.582855,19000
2021-06-24,270.399994,272.399994,260.000000,260.000000,249.269836,8232
2021-06-25,259.399994,266.000000,254.399994,263.799988,252.913010,7698
2021-06-28,258.000000,264.799988,257.000000,262.600006,251.762543,6359
2021-06-29,262.000000,263.000000,252.199997,255.000000,244.476196,33108
2021-06-30,255.399994,256.200012,247.000000,251.199997,240.833008,23634
2021-07-01,254.600006,255.000000,250.000000,252.600006,242.175247,10637
2021-07-02,254.000000,269.600006,253.000000,266.000000,255.022217,41367
2021-07-05,262.799988,269.000000,261.600006,267.000000,255.980957,6456
2021-07-06,267.000000,277.000000,266.200012,277.000000,265.568268,29404
2021-07-07,275.000000,277.000000,271.000000,271.000000,259.815887,21169
